"oCiType","oName","LocId","osType","osName","Domain","Operating_System"
"DCOM","appsvc1","PRM.CED","OS.VM","APPSVC1","deltabank","Microsoft Windows 2012 R2 Standard"
"DCOM","DEV_NLB12","PRM.CED","OS.VM","OLD_DEV_NLB12","deltabank","Microsoft Windows 2003 Standard"
"DCOM","PP_NLB11","PRM.CED","OS.VM","PP_NLB11","deltabank","Microsoft Windows 2012 R2 Standard"
"DCOM","PP_NLB12","PRM.CED","OS.VM","PP_NLB12","deltabank","Microsoft Windows 2012 R2 Standard"
"DCOM","PP_NLB13","PRM.CED","OS.VM","PP_NLB13","deltabank","Microsoft Windows 2012 R2 Standard"
"DCOM","ssebank1","PRM.CED","OS.VM","SSEBANK1","ebank","Microsoft Windows 2003 Standard"
"DCOM","ssebank2","PRM.CED","OS.VM","SSEBANK2","ebank","Microsoft Windows 2003 Standard"
"IIS","Adapter5","PRM.CED","OS.VM","ADAPTER5","ebank","Microsoft Windows 2003 Standard"
"IIS","ADMINWEB","PRM.CED","OS.VM","ADMINWEB","ebank","Microsoft® Windows ® 2008 Standard"
"IIS","APPWEB1","PRM.CED","OS.VM","APPWEB1","deltabank","Microsoft Windows 2012 R2 Standard"
"IIS","bibco-app1","PRM.CED","OS.VM","BIBCO-APP1","deltabank","Microsoft Windows 2008 R2 Standard"
"IIS","bibco-app2","PRM.CED","OS.VM","BIBCO-APP2","deltabank","Microsoft Windows 2008 R2 Standard"
"IIS","bibco-lb","PRM.CED","OS.VM","BIBCO-LB","deltabank","Microsoft Windows 2008 R2 Standard"
"IIS","BIZONLINE","PRM.CED","OS.VM","BIZONLINE","online","Microsoft® Windows ® 2008 Standard"
"IIS","Broker","PRM.CED","OS.VM","BROKER","WORKGROUP","Microsoft Windows 2012 R2 Standard"
"IIS","BWNET","PRM.CED","OS.VM","BWnet","DELTABANK","Windows 2000 Professional"
"IIS","Card0008","PRM.CED","OS.VM","CARD0008","deltabank","Microsoft Windows 2003 Standard"
"IIS","ccibweb","SRB.BGD.SS","OS.VM","CCIBWEB","deltabank","Microsoft Windows 2008 R2 Standard"
"IIS","CRITES1","PRM.CED","OS.VM","CRITES1","deltabank","Microsoft Windows 2003 Standard"
"IIS","CW-WEB-01","PRM.CED","OS.VM","CW-WEB-01","WORKGROUP","Microsoft Windows 2008 R2 Standard"
"IIS","CW-WEB-02","PRM.CED","OS.VM","CW-WEB-02","WORKGROUP","Microsoft Windows 2008 R2 Standard"
"IIS","DBAF1","PRM.CED","OS.VM","DBAF1","deltabank","Microsoft Windows 2012 R2 Standard"
"IIS","DBAF2","PRM.CED","OS.VM","DBAF2","deltabank","Microsoft Windows 2008 R2 Standard"
"IIS","DBAF3","PRM.CED","OS.VM","DBAF3","deltabank","Microsoft Windows 2012 R2 Standard"
"IIS","DD-APP","PRM.CED","OS.VM","DD-APP","deltabank","Microsoft Windows 2008 R2 Standard"
"IIS","DG-test-01","PRM.CED","OS.VM","DG-TEST-01","WORKGROUP","Microsoft Windows 2003 Standard"
"IIS","EbankSysMng","PRM.CED","OS.VM","EBANKSYSMNG","deltabank","Microsoft Windows 2003 Standard"
"IIS","eBoard","PRM.CED","OS.VM","EBOARD","deltabank","Microsoft Windows 2012 R2 Standard"
"IIS","ECAWEBENROLL","SRB.BGD.SS","OS.VM","ECAWEBENROLL2","WORKGROUP","Microsoft Windows 2012 R2 Standard"
"IIS","faktoring","PRM.CED","OS.VM","FAKTORING","deltabank","Microsoft Windows 2003 Standard"
"IIS","FXSERVICE1","PRM.CED","OS.VM","FXSERVICE1","WORKGROUP","Microsoft Windows 2003 Standard"
"IIS","FXSERVICE2","PRM.CED","OS.VM","FXService2","DMZ","Microsoft Windows 2003 Standard"
"IIS","FXSERVICE6","PRM.CED","OS.VM","FXSERVICE6","DMZ","Microsoft Windows 2003 Standard"
"IIS","ICT-BARCODE-01","SRB.BGD.SS","OS.ESX","BIB-ESX-02","deltabank","Vmware ESX Server 5"
"IIS","ICT-BARCODE-01","SRB.BGD.SS","OS.VM","ICT-BARCODE-01","deltabank","Microsoft Windows 2012 R2 Standard"
"IIS","inexNLB1","PRM.CED","os.vm","INEXNLB1","deltabank","Microsoft Windows 2012 R2 Standard"
"IIS","inexNLB2","PRM.CED","os.vm","INEXNLB2","deltabank","Microsoft Windows 2012 R2 Standard"
"IIS","LibraSrv","PRM.CED","OS.VM","LIBRASRV","deltabank","Microsoft Windows 2008 R2 Standard"
"IIS","MB-APP-2","PRM.CED","OS.VM","MB-APP-2","ebank","Microsoft® Windows ® 2008 Standard"
"IIS","mpayment","PRM.CED","OS.VM","MPAYMENT","WORKGROUP","Microsoft Windows 2003 Standard"
"IIS","MTSCoBrand","PRM.CED","os.ESX","BIB-VWPAP-A12","ESX","Vmware ESX Server 5"
"IIS","newweb-online-02","PRM.CED","OS.VM","NEWWEB-ONLINE-2","WORKGROUP","Microsoft Windows 2008 R2 Standard"
"IIS","office2","PRM.CED","OS.VM","office2","DMZ","Microsoft® Windows ® 2008 Standard"
"IIS","Office3","PRM.CED","OS.VM","Office3","DMZ","Microsoft Windows 2008 R2 Standard"
"IIS","PDFONLINE1","PRM.CED","OS.VM","PDFONLINE1","online","Microsoft Windows 2003 Standard"
"IIS","SPK2RETAIL-01","PRM.CED","OS.VM","SPK2RETAIL-01","deltabank","Microsoft Windows 2012 R2 Standard"
"IIS","SPK2RETAIL-02","PRM.CED","OS.VM","SPK2RETAIL-02","deltabank","Microsoft Windows 2012 R2 Standard"
"IIS","srvc-noncore-01","SRB.BGD.SS","OS.VM","SRVC-NONCORE-01","deltabank","Microsoft Windows 2008 R2 Standard"
"IIS","VPNEBANK1","PRM.CED","OS.VM","VPNEBANK1","ebank","Microsoft Windows 2012 R2 Standard"
"IIS","WEBLOCAL-01","PRM.CED","OS.VM","WEBLOCAL-01","deltabank","Microsoft Windows 2003 Enterprise"
"IIS","wsaCrintesa01","PRM.CED","OS.VM","WSACRINTESA01","deltabank","Microsoft® Windows ® 2008 Standard"
"IIS","wsaCrintesa02","PRM.CED","OS.VM","WSACRINTESA02","deltabank","Microsoft® Windows ® 2008 Standard"
"IIS","wu-test-01","PRM.CED","OS.VM","WU-TEST-01","WORKGROUP","Microsoft Windows 2003 Standard"
"IIS","xenapp-es1","PRM.CED","OS.VM","XENAPP-ES1","deltabank","Microsoft Windows 2003 Standard"
"IIS","XENAPP-WI1","PRM.CED","OS.VM","XENAPP-WI1","deltabank","Microsoft Windows 2003 Standard"
