vm	cluster
ADAPTER3	Flex-pr
ADAPTER7	Flex-pr
Almpro1	Flex-pr
AML-FE-01	Flex-pr
AML-RT-01	Flex-pr
AppWeb2	Flex-pr
ArrWeb1	Flex-pr
ArrWeb2	Flex-pr
B2B-BE-01	Flex-pr
bibco-app1	Flex-pr
BIBCOISS-APP1	Flex-pr
BIBCOISS-APP3	Flex-pr
BIZONLINE	Flex-pr
card-mas-02	Flex-pr
card-mas-06	Flex-pr
CC-AICMM	Flex-pr
CSAPP1	Flex-pr
CSPlatform	Flex-pr
DMZ-PA-Nessus	Flex-pr
EBANKSYSMNG	Flex-pr
Fixapi-test	Flex-pr
FoglightPI	Flex-pr
identikey1	Flex-pr
INEXNLB2	Flex-pr
MTSCoBrand	Flex-pr
mx-out-01	Flex-pr
newapp-online-1	Flex-pr
OBR7-MAS-01	Flex-pr
OBR7-MAS-16	Flex-pr
OBR7-MAS-19	Flex-pr
OBR7-MAS-32	Flex-pr
OCR7-PS-04	Flex-pr
OCR7-PS-08	Flex-pr
OCR7-PS-09	Flex-pr
OCR7-PS-15	Flex-pr
OCR7-PS-16	Flex-pr
OCR7-PS-17	Flex-pr
OCR7-PS-19	Flex-pr
OCR7-PS-20	Flex-pr
PrgWs10	Flex-pr
PrgWs11	Flex-pr
ProjectS	Type2
Se-Pa-Conn	Flex-pr
SPK2RETAIL-01	Flex-pr
SPK2RETAIL-02	Flex-pr
SSEBANK2	Flex-pr
STD7-MAS-06	Flex-pr
TFSERVER	Flex-pr
VQTRANSFER11	Flex-pr
WebLocal-01	Flex-pr
wsaCrintesa01	Flex-pr
wsaCrintesa02	Flex-pr
XenApp-Lic2	Flex-pr
