"Server Performance Report"
"Farm: ","BE-BIB-CTX"
"Start time: ","14.09.2018 10:35:48"
"End time: ","18.09.2018 10:35:48"
"Database update time: ","18.09.2018 04:00:01"
"Generated at: ","18.09.2018 10:35:48 +02:00"
"Generated by: ","DELTABANK\admin_citrix"
"Number of servers to display: ","10"
"Selected servers or folders: ","Servers/ApplicationServer/XENAPP-001","Servers/ApplicationServer/XENAPP-002","Servers/ApplicationServer/XENAPP-003","Servers/ApplicationServer/XENAPP-004","Servers/ApplicationServer/XENAPP-005","Servers/ApplicationServer/XENAPP-006","Servers/ApplicationServer/XENAPP-007","Servers/ApplicationServer/XENAPP-008","Servers/ApplicationServer/XENAPP-009","Servers/ApplicationServer/XENAPP-010","Servers/ApplicationServer/XENAPP-011","Servers/ApplicationServer/XENAPP-012","Servers/ApplicationServer/XENAPP-013","Servers/ApplicationServer/XENAPP-014","Servers/ApplicationServer/XENAPP-015","Servers/ApplicationServer/XENAPP-016","Servers/ApplicationServer/XENAPP-017","Servers/ApplicationServer/XENAPP-018","Servers/ApplicationServer/XENAPP-019","Servers/ApplicationServer/XENAPP-020","Servers/ApplicationServer/XENAPP-021","Servers/ApplicationServer/XENAPP-022","Servers/ApplicationServer/XENAPP-023","Servers/ApplicationServer/XENAPP-024","Servers/ApplicationServer/XENAPP-025","Servers/ApplicationServer/XENAPP-026","Servers/ApplicationServer/XENAPP-027","Servers/ApplicationServer/XENAPP-028","Servers/ApplicationServer/XENAPP-029","Servers/ApplicationServer/XENAPP-030","Servers/ApplicationServer/XENAPP-031","Servers/ApplicationServer/XENAPP-032","Servers/ApplicationServer/XENAPP-033","Servers/ApplicationServer/XENAPP-034","Servers/ApplicationServer/XENAPP-035","Servers/ApplicationServer/XENAPP-036","Servers/ApplicationServer/XENAPP-037","Servers/ApplicationServer/XENAPP-038","Servers/ApplicationServer/XENAPP-039","Servers/ApplicationServer/XENAPP-040","Servers/ApplicationServer/XENAPP-041","Servers/ApplicationServer/XENAPP-042","Servers/ApplicationServer/XENAPP-043","Servers/ApplicationServer/XENAPP-044","Servers/ApplicationServer/XENAPP-045","Servers/ApplicationServer/XENAPP-046","Servers/ApplicationServer/XENAPP-047","Servers/ApplicationServer/XENAPP-048","Servers/ApplicationServer/XENAPP-049","Servers/ApplicationServer/XENAPP-050","Servers/ApplicationServer/XENAPP-051","Servers/ApplicationServer/XENAPP-052","Servers/ApplicationServer/XENAPP-053","Servers/ApplicationServer/XENAPP-054","Servers/ApplicationServer/XENAPP-055","Servers/ApplicationServer/XENAPP-056","Servers/ApplicationServer/XENAPP-057","Servers/ApplicationServer/XENAPP-058","Servers/ApplicationServer/XENAPP-059","Servers/ApplicationServer/XENAPP-060","Servers/ApplicationServer/XENAPP-061","Servers/ApplicationServer/XENAPP-062","Servers/ApplicationServer/XENAPP-063","Servers/ApplicationServer/XENAPP-064","Servers/ApplicationServer/XENAPP-065","Servers/ApplicationServer/XENAPP-066","Servers/ApplicationServer/XENAPP-067","Servers/ApplicationServer/XENAPP-068","Servers/ApplicationServer/XENAPP-069","Servers/ApplicationServer/XENAPP-070","Servers/ApplicationServer/XENAPP-071","Servers/ApplicationServer/XENAPP-072","Servers/ApplicationServer/XENAPP-073","Servers/ApplicationServer/XENAPP-074","Servers/ApplicationServer/XENAPP-075","Servers/ApplicationServer/XENAPP-076","Servers/ApplicationServer/XENAPP-077","Servers/ApplicationServer/XENAPP-078","Servers/ApplicationServer/XENAPP-079","Servers/ApplicationServer/XENAPP-080","Servers/ApplicationServer/XENAPP-081","Servers/ApplicationServer/XENAPP-082","Servers/ApplicationServer/XENAPP-083","Servers/ApplicationServer/XENAPP-084","Servers/ApplicationServer/XENAPP-085","Servers/ApplicationServer/XENAPP-086","Servers/ApplicationServer/XENAPP-087","Servers/ApplicationServer/XENAPP-088","Servers/ApplicationServer/XENAPP-089","Servers/ApplicationServer/XENAPP-090","Servers/ApplicationServer/XENAPP-091","Servers/ApplicationServer/XENAPP-092","Servers/ApplicationServer/XENAPP-093","Servers/ApplicationServer/XENAPP-094","Servers/ApplicationServer/XENAPP-095","Servers/ApplicationServer/XENAPP-096","Servers/ApplicationServer/XENAPP-097","Servers/ApplicationServer/XENAPP-098","Servers/ApplicationServer/XENAPP-099","Servers/ApplicationServer/XENAPP-100","Servers/ApplicationServer/XENAPP-101","Servers/ApplicationServer/XENAPP-102","Servers/ApplicationServer/XENAPP-103","Servers/ApplicationServer/XENAPP-104","Servers/ApplicationServer/XENAPP-105","Servers/ApplicationServer/XENAPP-106","Servers/ApplicationServer/XENAPP-107","Servers/ApplicationServer/XENAPP-108","Servers/ApplicationServer/XENAPP-109","Servers/ApplicationServer/XENAPP-110","Servers/ApplicationServer/XENAPP-111","Servers/ApplicationServer/XENAPP-112","Servers/ApplicationServer/XENAPP-113","Servers/ApplicationServer/XENAPP-114","Servers/ApplicationServer/XENAPP-115","Servers/ApplicationServer/XENAPP-116","Servers/ApplicationServer/XENAPP-117","Servers/ApplicationServer/XENAPP-118","Servers/ApplicationServer/XENAPP-119","Servers/ApplicationServer/XENAPP-120","Servers/ApplicationServer/XENAPP-121",

"Server Performance Summary"
"Selection","Average CPU (%)","Minimum Available Memory (MB)","Maximum Concurrent Sessions"
"Servers/ApplicationServer/XENAPP-001",3.58,315.50,18
"Servers/ApplicationServer/XENAPP-002",3.11,5.31,18
"Servers/ApplicationServer/XENAPP-003",3.41,229.41,19
"Servers/ApplicationServer/XENAPP-004",3.70,33.08,18
"Servers/ApplicationServer/XENAPP-005",5.13,3.18,19
"Servers/ApplicationServer/XENAPP-006",10.59,17.73,18
"Servers/ApplicationServer/XENAPP-007",3.70,67.70,19
"Servers/ApplicationServer/XENAPP-008",5.95,27.07,18
"Servers/ApplicationServer/XENAPP-009",3.76,44.83,18
"Servers/ApplicationServer/XENAPP-010",4.62,21.05,18
"Servers/ApplicationServer/XENAPP-011",2.92,200.39,18
"Servers/ApplicationServer/XENAPP-012",6.99,23.48,18
"Servers/ApplicationServer/XENAPP-013",3.17,35.83,18
"Servers/ApplicationServer/XENAPP-014",2.92,292.22,18
"Servers/ApplicationServer/XENAPP-015",5.04,20.23,19
"Servers/ApplicationServer/XENAPP-016",3.57,74.20,19
"Servers/ApplicationServer/XENAPP-017",4.32,513.52,18
"Servers/ApplicationServer/XENAPP-018",3.18,26.90,19
"Servers/ApplicationServer/XENAPP-019",3.04,47.33,18
"Servers/ApplicationServer/XENAPP-020",3.06,64.79,18
"Servers/ApplicationServer/XENAPP-021",3.16,34.71,19
"Servers/ApplicationServer/XENAPP-022",3.31,53.16,19
"Servers/ApplicationServer/XENAPP-023",3.56,4.25,18
"Servers/ApplicationServer/XENAPP-024",3.25,30.73,19
"Servers/ApplicationServer/XENAPP-025",4.36,8.43,20
"Servers/ApplicationServer/XENAPP-026",9.92,45.68,18
"Servers/ApplicationServer/XENAPP-027",3.51,30.84,19
"Servers/ApplicationServer/XENAPP-028",3.63,31.71,19
"Servers/ApplicationServer/XENAPP-029",2.88,57.62,18
"Servers/ApplicationServer/XENAPP-030",3.08,206.57,18
"Servers/ApplicationServer/XENAPP-031",3.26,13.77,18
"Servers/ApplicationServer/XENAPP-032",4.66,41.74,18
"Servers/ApplicationServer/XENAPP-033",4.14,10.19,18
"Servers/ApplicationServer/XENAPP-034",3.49,28.57,19
"Servers/ApplicationServer/XENAPP-035",6.81,26.80,19
"Servers/ApplicationServer/XENAPP-036",4.27,48.89,18
"Servers/ApplicationServer/XENAPP-037",3.31,36.68,17
"Servers/ApplicationServer/XENAPP-038",2.96,34.10,19
"Servers/ApplicationServer/XENAPP-039",2.91,526.35,18
"Servers/ApplicationServer/XENAPP-040",3.21,39.48,18
"Servers/ApplicationServer/XENAPP-041",2.79,40.70,18
"Servers/ApplicationServer/XENAPP-042",3.87,45.78,19
"Servers/ApplicationServer/XENAPP-043",3.69,38.69,18
"Servers/ApplicationServer/XENAPP-044",2.88,19.13,20
"Servers/ApplicationServer/XENAPP-045",3.97,83.37,18
"Servers/ApplicationServer/XENAPP-046",3.75,42.43,18
"Servers/ApplicationServer/XENAPP-047",4.44,38.33,19
"Servers/ApplicationServer/XENAPP-048",3.55,36.61,18
"Servers/ApplicationServer/XENAPP-049",3.80,35.88,19
"Servers/ApplicationServer/XENAPP-050",3.14,67.36,18
"Servers/ApplicationServer/XENAPP-051",3.75,20.50,18
"Servers/ApplicationServer/XENAPP-052",7.27,17.81,19
"Servers/ApplicationServer/XENAPP-053",3.58,21.30,18
"Servers/ApplicationServer/XENAPP-054",3.67,41.50,18
"Servers/ApplicationServer/XENAPP-055",4.49,3.82,17
"Servers/ApplicationServer/XENAPP-056",3.59,7.31,18
"Servers/ApplicationServer/XENAPP-057",2.83,151.13,18
"Servers/ApplicationServer/XENAPP-058",5.10,283.57,19
"Servers/ApplicationServer/XENAPP-059",12.60,4.87,49
"Servers/ApplicationServer/XENAPP-060",3.34,300.49,18
"Servers/ApplicationServer/XENAPP-061",3.61,15.08,19
"Servers/ApplicationServer/XENAPP-062",3.56,281.20,18
"Servers/ApplicationServer/XENAPP-063",3.18,8.25,18
"Servers/ApplicationServer/XENAPP-064",5.24,285.29,19
"Servers/ApplicationServer/XENAPP-065",5.74,48.37,18
"Servers/ApplicationServer/XENAPP-066",3.66,10.13,18
"Servers/ApplicationServer/XENAPP-067",3.26,31.25,18
"Servers/ApplicationServer/XENAPP-068",7.97,36.57,24
"Servers/ApplicationServer/XENAPP-069",4.38,15.44,19
"Servers/ApplicationServer/XENAPP-070",3.40,25.89,18
"Servers/ApplicationServer/XENAPP-071",3.59,58.07,19
"Servers/ApplicationServer/XENAPP-072",3.25,186.02,18
"Servers/ApplicationServer/XENAPP-073",3.46,53.52,19
"Servers/ApplicationServer/XENAPP-074",3.82,49.86,17
"Servers/ApplicationServer/XENAPP-075",4.44,3.50,18
"Servers/ApplicationServer/XENAPP-076",2.84,54.67,18
"Servers/ApplicationServer/XENAPP-077",2.84,23.73,18
"Servers/ApplicationServer/XENAPP-078",2.58,58.89,18
"Servers/ApplicationServer/XENAPP-079",2.79,98.63,19
"Servers/ApplicationServer/XENAPP-080",3.65,66.74,18
"Servers/ApplicationServer/XENAPP-081",3.66,40.12,18
"Servers/ApplicationServer/XENAPP-082",4.27,31.09,18
"Servers/ApplicationServer/XENAPP-083",4.33,345.25,19
"Servers/ApplicationServer/XENAPP-084",3.38,1.59,17
"Servers/ApplicationServer/XENAPP-085",5.28,41.86,18
