#TYPE Microsoft.GroupPolicy.GpoBackup
"DisplayName","GpoId","Id","BackupDirectory","CreationTime","DomainName","Comment"
"ok - OutlookDisableArchiving","01579ab3-08de-4abb-b0db-e7928a3d34eb","35ba8b80-4439-46da-86c1-bb5af2de6ac7","\\dd2500\Backups\GP","2/26/2018 1:00:08 AM","deltabank.co.yu","Weekly GP Backup"
"Test - RemoteAssistance admin UAC","0418e9b1-aed4-4868-9af7-a570e7990a04","5c9061ee-4ece-4950-9f04-3a10e0ae8600","\\dd2500\Backups\GP","2/26/2018 1:03:25 AM","deltabank.co.yu","Weekly GP Backup"
"Test - CCleaner LogOff Script","05d467ac-5b56-4c30-b6a0-4219077bee01","05bfd137-3f99-4f46-bdf6-537bb24ec2da","\\dd2500\Backups\GP","2/26/2018 1:03:34 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Polisa za CA","0828d099-4122-4205-92d2-7bbf7933645d","9cb969fd-e4e1-4b0d-b74b-c271abecc174","\\dd2500\Backups\GP","2/26/2018 1:03:46 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Disable USB","0e786da2-5e1d-4f95-917a-e67a1de57043","0eb80aad-f6de-41d0-a284-de95cb607e1b","\\dd2500\Backups\GP","2/26/2018 1:04:04 AM","deltabank.co.yu","Weekly GP Backup"
"Test - BoldonJames polisa","12c1f710-9508-4326-8cda-a1889957ed06","a7045fc7-8673-41e9-a1d7-c80ffe559740","\\dd2500\Backups\GP","2/26/2018 1:04:18 AM","deltabank.co.yu","Weekly GP Backup"
"Test - Citrix 65 Settings policy","12ebaef3-5049-44fd-99d2-dbf68f850288","4631ee6c-8ec6-4cb4-a2b6-5bfdc66aadee","\\dd2500\Backups\GP","2/26/2018 1:04:27 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Exchange Cluster Nodes Policy","16280c4f-8a47-472b-9738-9dda923e3d19","034f45c6-88d5-4bab-b090-e0bc6bea1e6c","\\dd2500\Backups\GP","2/26/2018 1:04:52 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Citrix XenApp Policy","16be3935-9900-46bb-82ff-6eb4c6b3191d","7971cd77-bb54-4fdc-8d1c-0364a3d3deff","\\dd2500\Backups\GP","2/26/2018 1:05:06 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Citrix Settings Policy - Develop DEV04","18224749-ffd1-4b33-b35f-102348508529","5d644b2b-d275-4fd2-a833-54685c19186c","\\dd2500\Backups\GP","2/26/2018 1:05:42 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Screen Saver Polisa","1e220a57-7ace-4920-89f8-433c0360b827","f6516409-6afc-411f-b315-23e09561b5ee","\\dd2500\Backups\GP","2/26/2018 1:06:09 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Script StartUp - Source_machine_SMSv2a.vbs","1e52698a-499a-433a-96e4-66ab9fd11d89","cb6f0b10-20c3-4b19-8b24-63523d49c17e","\\dd2500\Backups\GP","2/26/2018 1:06:23 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Citrix Settings Policy - Develop","235623df-ba07-41dd-9908-29ed9becf761","15a0ae4d-5fa7-4dd3-97f1-e61e05c26374","\\dd2500\Backups\GP","2/26/2018 1:06:38 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Citrix XenApp Policy Develop","283c9181-4245-49c5-9880-a76d969eb47f","002ec929-37f6-4499-bbee-923fc31f9932","\\dd2500\Backups\GP","2/26/2018 1:07:07 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Card - BW3_live Training","2931edbb-5dba-4eb7-9205-bfef63b7e1e7","ae9acd09-b05a-4fe4-bcee-ae4f8fbecca4","\\dd2500\Backups\GP","2/26/2018 1:07:36 AM","deltabank.co.yu","Weekly GP Backup"
"ok - IR1","2e3f7504-f7ca-4f6a-82ad-6847ef972af1","0c8f1050-0ee8-4aed-9725-3a02de212f3a","\\dd2500\Backups\GP","2/26/2018 1:07:55 AM","deltabank.co.yu","Weekly GP Backup"
"ok - LAPS","2f5d4de4-0cfe-4246-b81b-6a2613afe4de","f7188a7b-a3c5-416e-9c2b-f11056fbcc1d","\\dd2500\Backups\GP","2/26/2018 1:08:18 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Default Domain Policy - Modified","31b2f340-016d-11d2-945f-00c04fb984f9","1962790c-2af5-49ad-8762-88107e2ada3d","\\dd2500\Backups\GP","2/26/2018 1:08:25 AM","deltabank.co.yu","Weekly GP Backup"
"off - Pilot - Proxy Service - TMG","33d79103-60c3-4076-a325-398c6a2bbac7","2812cfa8-00e9-46e2-8de7-0138cea9d7de","\\dd2500\Backups\GP","2/26/2018 1:08:49 AM","deltabank.co.yu","Weekly GP Backup"
"ok - CID Lock","34dd8894-09cc-4e8c-b9ec-701a0e2e3d47","c2c7c7c8-9f0c-4e9a-ad28-00ba81b02f22","\\dd2500\Backups\GP","2/26/2018 1:09:29 AM","deltabank.co.yu","Weekly GP Backup"
"ok - TacacsVPN","382c5be0-2314-4d3c-aac3-e398013c7732","edb63464-5098-444d-bc86-890067a48baf","\\dd2500\Backups\GP","2/26/2018 1:09:42 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Citrix XenApp Policy Testing","38e4e500-3f46-45ce-ba96-e353db3f5789","6fcf7b1e-1674-44fd-a9d3-9b648802b586","\\dd2500\Backups\GP","2/26/2018 1:09:59 AM","deltabank.co.yu","Weekly GP Backup"
"Test - Outlook Template","3cda248b-bf81-4980-a1b4-da2c8c2c599c","8097335e-1ee9-41e7-82be-138950d14692","\\dd2500\Backups\GP","2/26/2018 1:10:28 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Windows 7 Settings","3dc01dab-cfb1-4162-bd6c-09f21990471f","e7c15fd3-c82d-49ac-9fd2-1bc7899bee3d","\\dd2500\Backups\GP","2/26/2018 1:10:38 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Card - BW3_live","3f082e81-2083-4e66-830c-ace752ef2a90","890733d1-91d7-4366-8ed7-3487b209403b","\\dd2500\Backups\GP","2/26/2018 1:10:53 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Proxy Service with IE11 Settings","419d46ce-b19e-4caa-b544-a7fbd967bee6","71af6248-5e87-4653-8d80-fc813d07d95a","\\dd2500\Backups\GP","2/26/2018 1:11:14 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Logon Script Internet Explorer","437fe430-4c00-48b3-ac37-792002b0ae57","c6f70fbc-b7cf-48f2-accd-8834396174b8","\\dd2500\Backups\GP","2/26/2018 1:12:01 AM","deltabank.co.yu","Weekly GP Backup"
"Test - Windows 10 Proxy Disabled for laptops","465ba875-8a23-4503-8c76-4cfffaffbfa1","bcabdea3-9f75-4417-af84-44df4bc6d855","\\dd2500\Backups\GP","2/26/2018 1:12:14 AM","deltabank.co.yu","Weekly GP Backup"
"test - BitLockerTest","4c7f8029-b56c-41f5-a4a6-d3b3f805bdde","a7b5e808-f71f-4f54-a5f4-a6b8a8937cd9","\\dd2500\Backups\GP","2/26/2018 1:13:01 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Osnovna sredstva","4d45e334-9fc6-4827-888a-841150eba6de","ebaa74a4-aa38-40b0-82b6-caa7ebe1cb71","\\dd2500\Backups\GP","2/26/2018 1:13:08 AM","deltabank.co.yu","Weekly GP Backup"
"ok - RD Session Time Limits","4db051c5-560d-43da-a21c-298f1cec98db","0fa1056b-93e3-42fc-94c1-42b0838438da","\\dd2500\Backups\GP","2/26/2018 1:13:24 AM","deltabank.co.yu","Weekly GP Backup"
