"Name","Path"
"POC-CIS","Srbija sume\POC-CIS"
"INTCOMM02","Srbija sume\INTCOMM02"
"POC-CC","Srbija sume\POC-CC"
"Berza2","Srbija sume\DMZ\Berza2"
"MWG-RP2","Srbija sume\DMZ\MWG-RP2"
"MWG-RP1","Srbija sume\DMZ\MWG-RP1"
"JUNIPER-FS","Srbija sume\DMZ\JUNIPER-FS"
"dlp-mail2","Srbija sume\DMZ\dlp-mail2"
"DMZ-BG-Nessus","Srbija sume\DMZ\DMZ-BG-Nessus"
"Dns-Dmz2","Srbija sume\DMZ\Dns-Dmz2"
"sfb-edge","Srbija sume\DMZ\sfb-edge"
"NTP-DMZ12","Srbija sume\DMZ\NTP-DMZ12"
"Ecawebenroll2","Srbija sume\DMZ\Ecawebenroll2"
"sftp-01","Srbija sume\DMZ\sftp-01"
"MAIL-IN-01","Srbija sume\DMZ\MAIL-IN-01"
"MAIL-IN-02","Srbija sume\DMZ\MAIL-IN-02"
"Dns-Dmz1","Srbija sume\DMZ\Dns-Dmz1"
"Leasing-calc","Srbija sume\DMZ\Leasing-calc"
"MAIL-OUT-01","Srbija sume\DMZ\MAIL-OUT-01"
"MAIL-OUT-02","Srbija sume\DMZ\MAIL-OUT-02"
"PRX-DMZ3","Srbija sume\DMZ\PRX-DMZ3"
"UBS-KIB","Srbija sume\DMZ\UBS-KIB"
"dlp-mail1","Srbija sume\DMZ\dlp-mail1"
"ciscoworks01","Srbija sume\Local Monday\ciscoworks01"
"HVServer","Srbija sume\Local Monday\HVServer"
"CC-Sentinel","Srbija sume\Local Monday\CC-Sentinel"
"cc-mpp72","Srbija sume\Local Monday\cc-mpp72"
"NetIIS","Srbija sume\Local Monday\NetIIS"
"3PAR-VSP","Srbija sume\Local Monday\3PAR-VSP"
"CloudExtender","Srbija sume\Local Monday\CloudExtender"
"Cisco Prime Infrastructure Virtual Appliance","Srbija sume\Local Monday\Cisco Prime Infrastructure Virtual Appliance"
"CC-MGATE","Srbija sume\Local Monday\CC-MGATE"
"ACS","Srbija sume\Local Monday\ACS"
"BIB-VCENTAR-01","Srbija sume\Local Monday\BIB-VCENTAR-01"
"nagios-bgd","Srbija sume\Local Monday\nagios-bgd"
"EFMSSERVER","Srbija sume\Local Monday\EFMSSERVER"
"CC-SMGR","Srbija sume\Local Monday\CC-SMGR"
"Logsrv","Srbija sume\Local Monday\Logsrv"
"CC-SM","Srbija sume\Local Monday\CC-SM"
"cc-mpp71","Srbija sume\Local Monday\cc-mpp71"
"CC-IC73man","Srbija sume\Local Monday\CC-IC73man"
"CC-IC73voice","Srbija sume\Local Monday\CC-IC73voice"
"AlteonVA","Srbija sume\Local Monday\AlteonVA"
"CC-IC73core","Srbija sume\Local Monday\CC-IC73core"
