"Name","Path"
"ADFSNLB1","Srbija sume\Local Tuesday\ADFSNLB1"
"CC-SM","Srbija sume\Local Monday\CC-SM"
"CC-App","Srbija sume\Local Tuesday\CC-App"
"BibEx","Srbija sume\Local Tuesday\BibEx"
"TRE-202-PTA1","Srbija sume\Local Thursday\TRE-202-PTA1"
"tsp-sca","Srbija sume\Local Thursday\tsp-sca"
"ciscoworks01","Srbija sume\Local Monday\ciscoworks01"
"CCSQL","Srbija sume\Local Monday\CCSQL"
"EPOServer12","Srbija sume\Local Tuesday\EPOServer12"
"Logsrv","Srbija sume\Local Monday\Logsrv"
"Cisco Prime Infrastructure Virtual Appliance","Srbija sume\Local Monday\Cisco Prime Infrastructure Virtual Appliance"
"dc-bg-11","Srbija sume\Local Tuesday\dc-bg-11"
"AlteonVA","Srbija sume\Local Monday\AlteonVA"
"BIB-VCENTAR-01","Srbija sume\Local Monday\BIB-VCENTAR-01"
"Web-phonex","Srbija sume\Local Tuesday\Web-phonex"
"NSVPX2-ESX","Srbija sume\Local Thursday\NSVPX2-ESX"
"COMMNBJ02","Srbija sume\Local Tuesday\COMMNBJ02"
"TSP-BG-01","Srbija sume\Local Monday\TSP-BG-01"
"sfb-fe","Srbija sume\Local Thursday\sfb-fe"
"ACS2","Srbija sume\Local Tuesday\ACS2"
"BigSister","Srbija sume\Local Tuesday\BigSister"
"ADFSNLB2","Srbija sume\Local Tuesday\ADFSNLB2"
"Dns-Dmz2","Srbija sume\DMZ\Dns-Dmz2"
"NSVPX1-ESX","Srbija sume\Local Thursday\NSVPX1-ESX"
"dlp-mail2","Srbija sume\DMZ\dlp-mail2"
"cc-cba","Srbija sume\Local Tuesday\cc-cba"
"SwiftComm","Srbija sume\Local Thursday\SwiftComm"
"sftp-01","Srbija sume\DMZ\sftp-01"
"ex-gc-11","Srbija sume\Local Monday\ex-gc-11"
"ELEARNING","Srbija sume\Local Tuesday\ELEARNING"
"AEXPROPRINT","Srbija sume\Local Tuesday\AEXPROPRINT"
