"Name","Path"
"DMZ-BG-Nessus","Srbija Sume\DMZ\DMZ-BG-Nessus"
"TCRSrv","Srbija Sume\Local Thursday\TCRSrv"
"Berza2","Srbija Sume\DMZ\Berza2"
"sccm-bg-01","Srbija Sume\Local Thursday\sccm-bg-01"
"Vra-01","Srbija Sume\Local Monday\Vra-01"
"PCWEBPRINT","Srbija Sume\Local Thursday\PCWEBPRINT"
"Srvc-noncore-01","Srbija Sume\Local Tuesday\Srvc-noncore-01"
"cc-cba","Srbija Sume\Local Tuesday\cc-cba"
"SPSNLB2","Srbija Sume\Local Thursday\SPSNLB2"
"dlp-mail2","Srbija Sume\DMZ\dlp-mail2"
"SwiftComm","Srbija Sume\Local Thursday\SwiftComm"
"bib-vcentar-02","Srbija Sume\Local Monday\bib-vcentar-02"
"EFMSSERVER","Srbija Sume\Local Monday\EFMSSERVER"
"MWG-TRP","Srbija Sume\Local Thursday\MWG-TRP"
"CC-SMGR","Srbija Sume\Local Monday\CC-SMGR"
"TFS-Build1","Srbija Sume\Local Tuesday\TFS-Build1"
"NetFlow","Srbija Sume\Local Thursday\NetFlow"
"MAIL-IN-01","Srbija Sume\DMZ\MAIL-IN-01"
"MAIL-OUT-02","Srbija Sume\DMZ\MAIL-OUT-02"
"BigSister","Srbija Sume\Local Tuesday\BigSister"
"dlp-mail1","Srbija Sume\DMZ\dlp-mail1"
"sftp-01","Srbija Sume\DMZ\sftp-01"
"MAIL-OUT-01","Srbija Sume\DMZ\MAIL-OUT-01"
"acs-asa2","Srbija Sume\Local Tuesday\acs-asa2"
"Dns-Dmz2","Srbija Sume\DMZ\Dns-Dmz2"
"MWG-DR","Srbija Sume\Local Thursday\MWG-DR"
"Dns-Dmz1","Srbija Sume\DMZ\Dns-Dmz1"
"PerfMonBgd","Srbija Sume\Local Thursday\PerfMonBgd"
"ADFSNLB2","Srbija Sume\Local Tuesday\ADFSNLB2"
"PRX-DMZ3","Srbija Sume\DMZ\PRX-DMZ3"
"ELEARNING","Srbija Sume\Local Tuesday\ELEARNING"
"JunosSpace","Srbija Sume\Local Thursday\JunosSpace"
"ex-gc-11","Srbija Sume\Local Monday\ex-gc-11"
"Leasing-calc","Srbija Sume\DMZ\Leasing-calc"
"WS-BACKUP","Srbija Sume\No Backup\WS-BACKUP"
"AEXPROPRINT","Srbija Sume\Local Tuesday\AEXPROPRINT"
"UBS-KIB","Srbija Sume\DMZ\UBS-KIB"
"NSVPX1-ESX","Srbija Sume\Local Thursday\NSVPX1-ESX"
"CCIBWEB","Srbija Sume\Local Monday\CCIBWEB"
"JUNIPER-FS","Srbija Sume\DMZ\JUNIPER-FS"
"CC-MGATE","Srbija Sume\Local Monday\CC-MGATE"
"3PAR-VSP","Srbija Sume\Local Monday\3PAR-VSP"
"TFS-Build2","Srbija Sume\Local Thursday\TFS-Build2"
