"oCiType","oName","LocId","osType","osName","Domain","Operating_System"
"DCOM","DEV_NLB11","PRM.CED","OS.VM","DEV_NLB11","DELTABANK","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"DCOM","DEV_NLB12","PRM.CED","OS.VM","DEV_NLB12","DELTABANK","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"DCOM","PP_NLB11","PRM.CED","OS.VM","PP_NLB11","DELTABANK","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"DCOM","PP_NLB12","PRM.CED","OS.VM","PP_NLB12","DELTABANK","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"DCOM","Server za aplikativna prava","PRM.CED","OS.VM","AppSvc1","DELTABANK","Microsoft® Windows Server® 2012 R2 Standard"
"DCOM","ssebank1","PRM.CED","OS.VM","SSEBANK1","ebank","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"DCOM","ssebank2","PRM.CED","OS.VM","SSEBANK2","ebank","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"DNS","DNS-DMZ1","SRB.BGD.SS","OS.VM","DNS-DMZ1","DMZ","Linux, CentOS 6.4"
"DNS","DNS-DMZ2","SRB.BGD.SS","OS.VM","DNS-DMZ2","DMZ","Linux, CentOS 6.4"
"DNS","DNS-DMZ3","PRM.CED","OS.VM","DNS-DMZ3","DMZ","Linux, CentOS 6.4"
"DNS","DNS-DMZ4","PRM.CED","OS.VM","DNS-DMZ4","DMZ","Linux, CentOS 6.4"
"DNS","NS1","PRM.CED","OS.VM","NS1","DMZ","Linux, CentOS 4.4 server edition"
"DNS","NS2","PRM.CED","OS.VM","NS2","DMZ","Linux, CentOS 4.4 server edition"
"DNS","NS3","PRM.CED","OS.VM","NS3","DMZ","Linux, CentOS 4.4 server edition"
"DNS","NS4","PRM.CED","OS.VM","NS4","DMZ","Linux, CentOS 4.4 server edition"
"DNS.MS","DC-BG-02","SRB.BGD.SS","OS.VM","DC-BG-02","DELTABANK","Microsoft® Windows Server® 2012 Standard"
"DNS.MS","dconline81","PRM.CED","OS.VM","dconline81","online","Microsoft® Windows Server® 2008 R2 Enterprise"
"DNS.MS","dconline82","PRM.CED","OS.VM","dconline82","online","Microsoft® Windows Server® 2008 R2 Standard"
"DNS.MS","DC-PARMA-01","PRM.CED","OS.VM","DC-PARMA-01","DELTABANK","Microsoft® Windows Server® 2012 Standard"
"DNS.MS","DC-PARMA-02","PRM.CED","OS.VM","DC-PARMA-02","DELTABANK","Microsoft® Windows Server® 2012 Standard"
"DNS.MS","DHCP-BG1","SRB.BGD.SS","OS.VM","DHCP-BG1","DELTABANK","Microsoft® Windows Server® 2012 Standard"
"DNS.MS","ex-gc-02","SRB.BGD.SS","OS.VM","ex-gc-02","DELTABANK","Microsoft® Windows Server® 2012 Standard"
"DNS.MS","HOMERDB","PRM.CED","OS.VM","HOMERDB","DELTABANK","Microsoft® Windows Server® 2008 Standard"
"Domino","edms","PRM.CED","OS.VM","edms","DELTABANK","Microsoft® Windows Server® 2008 R2 Standard"
"Domino","EDMS02","PRM.CED","OS.VM","edms02","DELTABANK","Microsoft® Windows Server® 2008 R2 Enterprise"
"Domino","EDMS04","PRM.CED","OS.VM","EDMS04","DELTABANK","Microsoft® Windows Server® 2008 R2 Standard"
"Domino","edms05","PRM.CED","OS.VM","edms05","DELTABANK","Microsoft® Windows Server® 2008 R2 Enterprise"
"Domino","EDMS06","PRM.CED","OS.VM","EDMS06","DELTABANK","Microsoft® Windows Server® 2008 R2 Standard"
"FTP.SRV","delta-KIB","SRB.BGD.SS","OS.VM","delta-KIB","DMZ","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"FTP.SRV","logsrv","SRB.BGD.SS","OS.VM","logsrv","DELTABANK","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"FTP.SRV","MNG-BG-01","SRB.BGD.SS","OS.VM","MNG-BG-01","DELTABANK","Microsoft® Windows Server® 2008 R2 Standard"
"FTP.SRV","sftp-01","SRB.BGD.SS","OS.VM","sftp-01","DMZ","Linux, CentOS 3.9 server edition"
"IIS","ACS_PIX","SRB.BGD.SS","OS.VM","ACS_PIX","DELTABANK","Microsoft® Windows Server® 2008 Standard"
"IIS","ACS1","SRB.BGD.SS","OS.VM","ACS1","DELTABANK","Microsoft® Windows Server® 2008 Standard"
"IIS","ACS3","SRB.BGD.SS","OS.VM","ACS3","DELTABANK","Microsoft® Windows Server® 2008 Standard"
"IIS","Adapter5","PRM.CED","OS.VM","ADAPTER5","ebank","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"IIS","ADMINWEB","PRM.CED","OS.VM","ADMINWEB","ebank","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"IIS","APPWEB1","PRM.CED","OS.VM","APPWEB1","DELTABANK","Microsoft® Windows Server® 2012 R2 Standard"
"IIS","bibco-app1","PRM.CED","OS.VM","bibco-app1","DELTABANK","Microsoft® Windows Server® 2008 R2 Standard"
"IIS","bibco-app2","PRM.CED","OS.VM","bibco-app2","DELTABANK","Microsoft® Windows Server® 2008 R2 Standard"
"IIS","Broker","PRM.CED","OS.VM","Broker","DMZ","Microsoft(R) Windows(R) Server 2003, Web Edition"
"IIS","BWNET","PRM.CED","OS.VM","BWnet","DELTABANK","Windows 2000 Professional"
"IIS","Card0008","PRM.CED","OS.VM","CARD0008","DELTABANK","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"IIS","CRITES1","PRM.CED","OS.VM","CRITES1","DELTABANK","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"IIS","CW-WEB-01","PRM.CED","OS.VM","CW-WEB-01","DMZ","Microsoft® Windows Server® 2008 R2 Standard"
"IIS","CW-WEB-02","PRM.CED","OS.VM","CW-WEB-02","DMZ","Microsoft® Windows Server® 2008 R2 Standard"
"IIS","DBAF1","PRM.CED","OS.VM","DBAF1","DELTABANK","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"IIS","DBAF2","PRM.CED","OS.VM","DBAF2","DELTABANK","Microsoft® Windows Server® 2008 Standard"
"IIS","DBAF3","PRM.CED","OS.VM","DBAF3","DELTABANK","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"IIS","DD-APP","PRM.CED","OS.VM","DD-APP","DELTABANK","Microsoft® Windows Server® 2008 R2 Standard"
"IIS","DG-test-01","PRM.CED","OS.VM","DG-test-01","DMZ","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"IIS","DMZ-DEVELOPER","PRM.CED","OS.VM","DMZ-DEVELOPER","DMZ","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"IIS","EbankSysMng","PRM.CED","OS.VM","EbankSysMng","DELTABANK","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"IIS","ECAWEBENROLL","SRB.BGD.SS","OS.VM","ecawebenroll2","DMZ","Microsoft® Windows Server® 2012 R2 Standard"
"IIS","faktoring","PRM.CED","OS.VM","FAKTORING","DELTABANK","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"IIS","FXSERVICE1","PRM.CED","OS.VM","FXService1","DMZ","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"IIS","FXSERVICE2","PRM.CED","OS.VM","FXService2","DMZ","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"IIS","FXSERVICE6","PRM.CED","OS.VM","FXSERVICE6","DMZ","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"IIS","ICT-BARCODE-01","SRB.BGD.SS","OS.VM","ICT-BARCODE-01","DELTABANK","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"IIS","inexNLB1","PRM.CED","OS.VM","INEXNLB1","DELTABANK","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"IIS","inexNLB2","PRM.CED","OS.VM","inexNLB2","DELTABANK","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"IIS","MB-APP-2","PRM.CED","OS.VM","MB-APP-2","ebank","Microsoft® Windows Server® 2008 Standard"
"IIS","mpayment","PRM.CED","OS.VM","mpayment","DMZ","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"IIS","MTSCoBrand","PRM.CED","OS.VM","MTSCoBrand","DMZ","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"IIS","office2","PRM.CED","OS.VM","office2","DMZ","Microsoft® Windows Server® 2008 Standard"
"IIS","Office3","PRM.CED","OS.VM","Office3","DMZ","Microsoft® Windows Server® 2008 R2 Standard"
"IIS","PDFONLINE1","PRM.CED","OS.VM","PDFONLINE1","online","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"IIS","SECUREDELTA","PRM.CED","OS.VM","weblade2","DMZ","Microsoft(R) Windows(R) Server 2003, Web Edition"
"IIS","SPK2RETAIL-01","PRM.CED","OS.VM","SPK2RETAIL-01","DELTABANK","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"IIS","SPK2RETAIL-02","PRM.CED","OS.VM","SPK2RETAIL-02","DELTABANK","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"IIS","srvc-noncore-01","SRB.BGD.SS","OS.VM","srvc-noncore-01","deltabank","Microsoft® Windows Server® 2012 R2 Standard"
"IIS","VPNEBANK1","PRM.CED","OS.VM","VPNEBANK1","ebank","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"IIS","WEBLOCAL-01","PRM.CED","OS.VM","weblocal-01","DELTABANK","Microsoft(R) Windows(R) Server 2003, Enterprise Edition"
"IIS","Web-online-02","PRM.CED","OS.VM","newweb-online-2","DMZ","Microsoft® Windows Server® 2008 R2 Standard"
"IIS","wsaCrintesa01","PRM.CED","OS.VM","wsaCrintesa01","DELTABANK","Microsoft® Windows Server® 2008 Standard"
"IIS","wsaCrintesa02","PRM.CED","OS.VM","wsaCrintesa02","DELTABANK","Microsoft® Windows Server® 2008 Standard"
"IIS","wu-test-01","PRM.CED","OS.VM","wu-test-01","DMZ","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"IIS","xenapp-es1","PRM.CED","OS.VM","xenapp-es1","DELTABANK","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"IIS","XENAPP-WI1","PRM.CED","OS.VM","XENAPP-WI1","DELTABANK","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"IIS","XENAPP-WI2","PRM.CED","OS.VM","XENAPP-WI2","DELTABANK","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"MSSQL.SRV","ARHPP","PRM.CED","OS.VM","ARHPP","DELTABANK","Microsoft® Windows Server® 2012 R2 Standard"
"MSSQL.SRV","ARHWB$WBSQL","PRM.CED","OS.VM","ARHWB","DELTABANK","Microsoft® Windows Server® 2012 R2 Standard"
"MSSQL.SRV","ARISDS","PRM.CED","OS.VM","ARISDS","DELTABANK","Microsoft® Windows Server® 2012 R2 Standard"
"MSSQL.SRV","DBRP02","PRM.CED","OS.VM","DBRP02","DELTABANK","Microsoft® Windows Server® 2012 R2 Standard"
"MSSQL.SRV","HOMERDB","PRM.CED","OS.VM","HOMERDB","DELTABANK","Microsoft® Windows Server® 2008 Standard"
"MSSQL.SRV","iam-bi2","PRM.CED","OS.VM","IAM-BI2","DELTABANK","Microsoft® Windows Server® 2008 R2 Standard"
"MSSQL.SRV","IAM-SQL","PRM.CED","OS.VM","IAM-SQL","DELTABANK","Microsoft® Windows Server® 2008 R2 Standard"
"MSSQL.SRV","Leasing1","PRM.CED","OS.VM","Leasing1","DELTABANK","Microsoft® Windows Server® 2012 R2 Standard"
"MSSQL.SRV","Leasing2","PRM.CED","OS.VM","Leasing2","DELTABANK","Microsoft® Windows Server® 2012 R2 Standard"
"MSSQL.SRV","LSSRV$I2008","PRM.CED","OS.VM","LSSRV","DELTABANK","Microsoft® Windows Server® 2008 R2 Standard"
"MSSQL.SRV","LSSRV$I2008R2","PRM.CED","OS.VM","LSSRV","DELTABANK","Microsoft® Windows Server® 2008 R2 Standard"
"MSSQL.SRV","LSSRV$I2012","PRM.CED","OS.VM","LSSRV","DELTABANK","Microsoft® Windows Server® 2008 R2 Standard"
"MSSQL.SRV","LSSRV$I2014","PRM.CED","OS.VM","LSSRV","DELTABANK","Microsoft® Windows Server® 2008 R2 Standard"
"MSSQL.SRV","MNG-BG-01","SRB.BGD.SS","OS.VM","MNG-BG-01","DELTABANK","Microsoft® Windows Server® 2008 R2 Standard"
"MSSQL.SRV","OCTOPUS","PRM.CED","OS.VM","octopus","DELTABANK","Microsoft® Windows Server® 2008 R2 Standard"
"MSSQL.SRV","ProjectSQL","PRM.CED","OS.VM","ProjectSQL","DELTABANK","Microsoft® Windows Server® 2008 R2 Standard"
"MSSQL.SRV","SSEBANK1$SQLEXPRESS","PRM.CED","OS.VM","SSEBANK1","ebank","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"MSSQL.SRV","SSEBANK2$SQLEXPRESS","PRM.CED","OS.VM","SSEBANK2","ebank","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"MSSQL.SRV","TFSSQL","SRB.BGD.SS","OS.VM","TFSSQL","DELTABANK","Microsoft® Windows Server® 2012 R2 Standard"
"MSSQL.SRV","WWW-SQL-01","PRM.CED","OS.VM","WWW-SQL-01","DMZ","Microsoft® Windows Server® 2012 R2 Standard"
"MSSQL.SRV","XENAPP-DB1","PRM.CED","OS.VM","XENAPP-DB1","DELTABANK","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"MSSQL.SRV.CLUS","APSQL$APSQL","PRM.CED","OS","PPAP-node21","DELTABANK","Microsoft® Windows Server® 2008 R2 Enterprise"
"MSSQL.SRV.CLUS","ARHTATA$ARHTATA","PRM.CED","OS","ebank-node1","ebank","Microsoft(R) Windows(R) Server 2003, Enterprise Edition"
"MSSQL.SRV.CLUS","BIBcoSQL","PRM.CED","OS","BIBCO-NODE1","DELTABANK","Microsoft® Windows Server® 2012 R2 Standard"
"MSSQL.SRV.CLUS","BiSql","PRM.CED","OS","BI-NODE1","DELTABANK","Microsoft® Windows Server® 2012 R2 Standard"
"MSSQL.SRV.CLUS","BIZSQL","PRM.CED","OS","ONLINE-NODE1","online","Microsoft® Windows Server® 2008 R2 Enterprise"
"MSSQL.SRV.CLUS","OCRSQL","PRM.CED","OS","OCR-NODE21","DELTABANK","Microsoft® Windows Server® 2008 R2 Enterprise"
"MSSQL.SRV.CLUS","ONLINESQL$ONLINESQL","PRM.CED","OS","ONLINE-NODE1","online","Microsoft® Windows Server® 2008 R2 Enterprise"
"MSSQL.SRV.CLUS","PPSQL","PRM.CED","OS","PPAP-node21","DELTABANK","Microsoft® Windows Server® 2008 R2 Enterprise"
"MSSQL.SRV.CLUS","TATA","PRM.CED","OS","ebank-node1","ebank","Microsoft(R) Windows(R) Server 2003, Enterprise Edition"
"MSSQL.SRV.CLUS","wbsql$wbsql","PRM.CED","OS","WBNODE3","deltabank","Microsoft® Windows Server® 2008 R2 Enterprise"
"ORACLE.DB","AEXProPrint","SRB.BGD.SS","OS.VM","AEXProPrint","DELTABANK","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"ORACLE.DB","logsrv","SRB.BGD.SS","OS.VM","logsrv","DELTABANK","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"ORACLE.DB","MB-APP-1","PRM.CED","OS.VM","MB-APP-1","ebank","Microsoft® Windows Server® 2008 Standard"
"ORACLE.DB.RAC","card3","PRM.CED","OS","card3","DELTABANK","Linux, Oracle Enterprise Linux 5"
"OS","BIBCO-NODE1","PRM.CED","OS","BIBCO-NODE1","DELTABANK","Microsoft® Windows Server® 2012 R2 Standard"
"OS","BIB-MASTER01","PRM.CED","OS","BIB-MASTER01",".","Linux, Oracle Enterprise Linux 5"
"OS","BI-NODE1","PRM.CED","OS","BI-NODE1","DELTABANK","Microsoft® Windows Server® 2012 R2 Standard"
"OS","card3","PRM.CED","OS","card3","DELTABANK","Linux, Oracle Enterprise Linux 5"
"OS","CCM5","SRB.NS","OS","CCM5","DELTABANK","Linux, Red Hat Enterprise Linux 5"
"OS","ebank-node1","PRM.CED","OS","ebank-node1","ebank","Microsoft(R) Windows(R) Server 2003, Enterprise Edition"
"OS","OCR-NODE21","PRM.CED","OS","OCR-NODE21","DELTABANK","Microsoft® Windows Server® 2008 R2 Enterprise"
"OS","ONLINE-NODE1","PRM.CED","OS","ONLINE-NODE1","online","Microsoft® Windows Server® 2008 R2 Enterprise"
"OS","PPAP-node21","PRM.CED","OS","PPAP-node21","DELTABANK","Microsoft® Windows Server® 2008 R2 Enterprise"
"OS","SYSSQL12-NODE1","SRB.BGD.SS","OS","SYSSQL12-NODE1","DELTABANK","Microsoft® Windows Server® 2012 R2 Standard"
"OS","SYSSQL12-NODE2","SRB.BGD.SS","OS","SYSSQL12-NODE2","DELTABANK","Microsoft® Windows Server® 2012 R2 Standard"
