#TYPE System.Management.Automation.PSCustomObject
"hostVersion","hostBuild","os","vm","state","host","cluster","tools","hw"
"5.5.0","3568722","Microsoft Windows Server 2008 R2 (64-bit)","Procur02","poweredOff","bib-vwpbp-a14.fbisp.eu","FLEX-PR","0","v10"
"5.5.0","3568722","Microsoft Windows Server 2008 R2 (64-bit)","Procur01","poweredOff","bib-vwpap-a09.fbisp.eu","FLEX-PR","0","v10"
"5.5.0","3568722","Microsoft Windows Server 2008 R2 (64-bit)","devProcur","poweredOff","bib-vwpbp-c04.fbisp.eu","CITRIX-ST","0","v10"
"5.5.0","3568722","Microsoft Windows Server 2003 Standard (32-bit)","XenApp-XXX","poweredOff","bib-vwpap-a06.fbisp.eu","CITRIX-PR","7302","v7"
"5.5.0","3568722","Microsoft Windows Server 2012 (64-bit)","BIREPORT14","poweredOff","bib-vwpbp-a09.fbisp.eu","FLEX-PR","9354","v10"
"5.5.0","2068190","Microsoft Windows Server 2008 R2 (64-bit)","FC1Sqldev1-node2","poweredOn","bib-vwpap-c10.fbisp.eu","SATELLITE-ST","9354","v10"
"5.5.0","2068190","Microsoft Windows Server 2012 (64-bit)","FC1BiLab-node1","poweredOn","bib-vwpap-c10.fbisp.eu","SATELLITE-ST","9354","v10"
"5.5.0","2068190","Microsoft Windows Server 2012 (64-bit)","FC2BiLab-node1","poweredOn","bib-vwpap-c12.fbisp.eu","SATELLITE-ST","9354","v10"
"5.5.0","2068190","Microsoft Windows Server 2012 (64-bit)","FC2Sqldev1-node1","poweredOn","bib-vwpap-c12.fbisp.eu","SATELLITE-ST","9354","v10"
"5.5.0","2068190","Microsoft Windows Server 2012 (64-bit)","FC1Sqldev1-node1","poweredOn","bib-vwpap-c08.fbisp.eu","SATELLITE-ST","9354","v10"
"5.5.0","2068190","Microsoft Windows Server 2012 (64-bit)","FC1BiLab-node2","poweredOn","bib-vwpap-c08.fbisp.eu","SATELLITE-ST","9354","v10"
"5.5.0","2068190","Microsoft Windows Server 2012 (64-bit)","FC3BiLab-node2","poweredOn","bib-vwpbp-c12.fbisp.eu","SATELLITE-ST","9354","v10"
"5.5.0","2068190","Microsoft Windows Server 2012 (64-bit)","FC3Sqldev1-node2","poweredOn","bib-vwpbp-c12.fbisp.eu","SATELLITE-ST","9354","v10"
"5.5.0","2068190","Microsoft Windows Server 2012 (64-bit)","FC2Sqldev1-node2","poweredOn","bib-vwpbp-c10.fbisp.eu","SATELLITE-ST","9354","v10"
"5.5.0","2068190","Microsoft Windows Server 2012 (64-bit)","FC2BiLab-node2","poweredOn","bib-vwpbp-c10.fbisp.eu","SATELLITE-ST","9354","v10"
