#TYPE System.Management.Automation.PSCustomObject
"Computer","Groups"
"bgdprntest","Prod2"
"devprocur","Not in WSUS"
"FC1XENAPPDBDEV1","Not in WSUS"
"FC1XENAPP-DEV01","Not in WSUS"
"FC1XENAPP-DEV02","Not in WSUS"
"FC1XENAPP-DEV03","Not in WSUS"
"FC1XENAPP-DEV04","Prod2"
"FC1XENAPPPFDEV1","Not in WSUS"
"FC1XENAPPWIDEV1","Not in WSUS"
"FC1XENAPPWIDEV2","Not in WSUS"
"fc2xenappdbdev1","Not in WSUS"
"FC2XenApp-DEV01","Not in WSUS"
"FC2XenApp-DEV02","Prod3"
"FC2XenApp-DEV03","Prod1"
"FC2XENAPP-DEV04","Not in WSUS"
"fc2xenapppfdev1","Prod2"
"fc2xenappwidev1","Not in WSUS"
"fc2xenappwidev2","Prod2"
"fc3xenappdbdev1","Prod2"
"FC3XenApp-DEV01","Prod2"
"FC3XenApp-DEV02","Not in WSUS"
"FC3XenApp-DEV03","Not in WSUS"
"FC3XENAPP-DEV04","Not in WSUS"
"fc3xenapppfdev1","Not in WSUS"
"fc3xenappwidev1","Prod2"
"fc3xenappwidev2","Not in WSUS"
"procur1","Not in WSUS"
"procur2","Not in WSUS"
"UBS-KIB-TEST","Not in WSUS"
"XenApp-001","Test"
"XENAPP-002","Test"
"XENAPP-003","Test"
"XENAPP-004","Test"
"XENAPP-005","Test"
"XENAPP-006","Test"
"XENAPP-007","Test"
"XENAPP-008","Test"
"XENAPP-009","Test"
"XENAPP-010","Test"
"XENAPP-011","Prod3"
"XENAPP-012","Prod1"
"XENAPP-013","Prod2"
"XENAPP-014","Prod3"
"XENAPP-015","Prod1"
"XENAPP-016","Prod2"
"XENAPP-017","Prod3"
"XENAPP-018","Prod1"
"XENAPP-019","Prod2"
"XENAPP-020","Prod3"
"XENAPP-021","Prod1"
"XENAPP-022","Prod2"
"XENAPP-023","Prod3"
"XENAPP-024","Prod1"
"XENAPP-025","Prod2"
"XENAPP-026","Prod3"
"XENAPP-027","Prod1"
"XENAPP-028","Prod2"
"XENAPP-029","Prod3"
"XENAPP-030","Prod1"
