#TYPE System.Management.Automation.PSCustomObject
"host","hw","hostVersion","tools","vm","state","os"
"bib-vwpbp-a14.fbisp.eu","v10","5.5.0","0","Procur02","poweredOff","Microsoft Windows Server 2008 R2 (64-bit)"
"bib-vwpap-a09.fbisp.eu","v10","5.5.0","0","Procur01","poweredOff","Microsoft Windows Server 2008 R2 (64-bit)"
"bib-vwpbp-c04.fbisp.eu","v10","5.5.0","0","devProcur","poweredOff","Microsoft Windows Server 2008 R2 (64-bit)"
"bib-vwpap-a06.fbisp.eu","v7","5.5.0","7302","XenApp-XXX","poweredOff","Microsoft Windows Server 2003 Standard (32-bit)"
"bib-vwpbp-a09.fbisp.eu","v10","5.5.0","9354","BIREPORT14","poweredOff","Microsoft Windows Server 2012 (64-bit)"
"bib-vwpap-c10.fbisp.eu","v10","5.5.0","9354","FC1Sqldev1-node2","poweredOn","Microsoft Windows Server 2008 R2 (64-bit)"
"bib-vwpap-c10.fbisp.eu","v10","5.5.0","9354","FC1BiLab-node1","poweredOn","Microsoft Windows Server 2012 (64-bit)"
"bib-vwpap-c12.fbisp.eu","v10","5.5.0","9354","FC2BiLab-node1","poweredOn","Microsoft Windows Server 2012 (64-bit)"
"bib-vwpap-c12.fbisp.eu","v10","5.5.0","9354","FC2Sqldev1-node1","poweredOn","Microsoft Windows Server 2012 (64-bit)"
"bib-vwpap-c08.fbisp.eu","v10","5.5.0","9354","FC1Sqldev1-node1","poweredOn","Microsoft Windows Server 2012 (64-bit)"
"bib-vwpap-c08.fbisp.eu","v10","5.5.0","9354","FC1BiLab-node2","poweredOn","Microsoft Windows Server 2012 (64-bit)"
"bib-vwpbp-c12.fbisp.eu","v10","5.5.0","9354","FC3BiLab-node2","poweredOn","Microsoft Windows Server 2012 (64-bit)"
"bib-vwpbp-c12.fbisp.eu","v10","5.5.0","9354","FC3Sqldev1-node2","poweredOn","Microsoft Windows Server 2012 (64-bit)"
"bib-vwpbp-c10.fbisp.eu","v10","5.5.0","9354","FC2Sqldev1-node2","poweredOn","Microsoft Windows Server 2012 (64-bit)"
"bib-vwpbp-c10.fbisp.eu","v10","5.5.0","9354","FC2BiLab-node2","poweredOn","Microsoft Windows Server 2012 (64-bit)"
"bib-vwpap-c03.fbisp.eu","v10","5.5.0","9354","FC3BiLab-node1","poweredOn","Microsoft Windows Server 2012 (64-bit)"
"bib-vwpap-c03.fbisp.eu","v10","5.5.0","9354","FC3Sqldev1-node1","poweredOn","Microsoft Windows Server 2012 (64-bit)"
